,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
159,"set100__D-Glucose carbon source with cis,cis-muconate stress",-7.081275922043474,0.1498999994043658,3.0,275.0,-7.050970104495033,276.0,-7.244013307943406,277.0,-6.948844353691985,,
160,set100__D-Glucose carbon source with Sodium chloride stress,-7.894291683321996,1.8996306743278637,3.0,278.0,-7.375801642123803,279.0,-9.999335381115076,280.0,-6.307738026727111,,
161,set100__D-Glucose carbon source with Sodium sulfate stress,-7.999015851524607,1.9443305578921966,3.0,281.0,-7.235191770762315,282.0,-10.209274384939585,283.0,-6.552581398871922,,
162,set100__D-Glucose carbon source with Acetic acid stress,-8.583641722162847,3.36764431327426,3.0,284.0,-9.01556854421558,285.0,-11.71448389796432,286.0,-5.020872724308642,,
163,set100__D-Glucose carbon source with Lactic acid stress,-9.143772562154169,1.098041341775257,2.0,287.0,-9.920205040946628,289.0,-8.367340083361709,,,,
164,set100__D-Glucose carbon source with Lactic acide stress,-10.14793310173061,,1.0,288.0,-10.14793310173061,,,,,,
165,set100__D-Glucose carbon source with Glycolic acid stress,-10.993980093943023,1.7887463679901165,3.0,290.0,-11.733453609224672,291.0,-12.294422296517412,292.0,-8.95406437608698,,
166,set101__D-Glucose carbon source,-10.71317212480089,0.10377889949859664,3.0,293.0,-10.604301602720428,294.0,-10.810971738108687,295.0,-10.724243033573549,,
167,set101__D-Glucose carbon source with Protecatechuic acid stress,-13.358954246403727,3.654310998702168,3.0,296.0,-15.994750360619571,297.0,-14.894724531701616,298.0,-9.187387846889994,,
168,"set101__D-Glucose carbon source with cis,cis-muconate stress",-9.253022915107541,2.088740585387087,3.0,299.0,-6.89628580349248,300.0,-9.98734206702468,301.0,-10.875440874805465,,
169,set101__Ferulic acid carbon source,-10.503216634657377,1.59720551990113,3.0,302.0,-8.766691115348843,303.0,-10.833497226024154,304.0,-11.909461562599134,,
170,set101__p-Coumaric acid carbon source,-8.490360132756374,0.3773631587764617,3.0,305.0,-8.881583980278355,306.0,-8.460913426322367,307.0,-8.128582991668404,,
171,set101__10 mM vanillate carbon source,-9.999843362843743,0.4541404537495431,3.0,308.0,-9.482411867910582,309.0,-10.184788941744262,310.0,-10.332329278876388,,
172,set101__10 mM 4-acetoxyvanillate carbon source,-7.3507680223295795,0.06235045572828516,3.0,311.0,-7.401181485321375,312.0,-7.370074675241139,313.0,-7.281047906426226,,
173,set101__10 mM 4-hydroxybenzoate carbon source,-8.733402494372994,0.6212151395322117,3.0,314.0,-8.731108192912671,315.0,-8.11333768311302,316.0,-9.355761607093289,,
174,set101__10 mM 4-acetoxybenzoate carbon source,-8.810107179965295,0.38653003398749364,3.0,317.0,-9.036329585428252,318.0,-9.03019716964508,319.0,-8.363794784822552,,
175,set101__15 mM beta-hydroxyisobutanoate carbon source,-7.595086740492692,0.17360367799752835,3.0,320.0,-7.411618459099128,321.0,-7.756769285789855,322.0,-7.616872476589091,,
176,set101__15 mM 3-methyl-2-oxobutanoate carbon source,-11.253372397474594,0.7374588352111221,3.0,323.0,-12.026279576695767,324.0,-10.55739271387156,325.0,-11.176444901856454,,
177,set101__D-Glucose carbon source with ??-ketoadipate stress,-8.666985678293322,1.0880829573242177,3.0,326.0,-7.626370869184809,327.0,-8.57756762305649,328.0,-9.797018542638668,,
178,set101__D-Glucose carbon source with levulinic acid stress,-12.749534419804982,0.7006550939128222,3.0,329.0,-13.47853461342448,330.0,-12.081164944967377,331.0,-12.688903701023095,,
